epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.36991,2.74196,11.3989,1.4889,0.28797,0.07235,0.0269,0.0088,2.27514,5.42427,1.20193,3e-05,3e-05,3e-05
2,5.50033,2.67915,10.8171,1.45486,0.50021,0.03744,0.02951,0.00978,2.33225,5.52892,1.22882,6.9307e-05,6.9307e-05,6.9307e-05
3,7.69383,2.32584,5.87792,1.32153,0.37627,0.12545,0.11371,0.0515,2.12584,9.31755,1.0945,0.000107822,0.000107822,0.000107822
4,10.2749,2.01342,2.9118,1.09174,0.43711,0.46091,0.51245,0.23873,1.88213,4.31412,1.06696,0.000145545,0.000145545,0.000145545
5,12.5005,1.85657,2.01652,1.06233,0.52167,0.78333,0.68986,0.38252,1.74243,2.75747,1.02812,0.000182476,0.000182476,0.000182476
6,15.0102,1.70784,1.65294,1.00287,0.68624,0.6931,0.79774,0.42077,1.69201,2.19752,1.01041,0.000218615,0.000218615,0.000218615
7,17.513,1.56739,1.48693,0.97476,0.86892,0.85443,0.86376,0.48807,1.65448,1.71151,0.99275,0.000253962,0.000253962,0.000253962
8,20.368,1.47203,1.2561,0.95463,0.90943,0.81327,0.83989,0.4686,1.58034,1.49479,0.97958,0.000288517,0.000288517,0.000288517
9,23.0679,1.44069,1.13264,0.96688,0.84765,0.90522,0.90691,0.48371,1.57273,1.41898,0.96803,0.00032228,0.00032228,0.00032228
10,25.51,1.37294,1.0132,0.95746,0.8457,0.88766,0.90253,0.5537,1.44648,1.34462,0.93602,0.000355251,0.000355251,0.000355251
11,28.0343,1.38133,1.03931,0.92348,0.86492,0.82196,0.86049,0.52489,1.48533,1.35227,0.9351,0.00038743,0.00038743,0.00038743
12,30.7486,1.32405,0.95902,0.92074,0.90934,0.84794,0.88021,0.5782,1.41035,1.30434,0.918,0.000418817,0.000418817,0.000418817
13,33.1078,1.34555,0.93058,0.91051,0.93098,0.86962,0.92781,0.5785,1.4159,1.31,0.91828,0.000449412,0.000449412,0.000449412
14,35.9457,1.29723,0.85859,0.90762,0.89248,0.87123,0.90803,0.55845,1.46068,1.18866,0.92937,0.000479215,0.000479215,0.000479215
15,38.5854,1.30096,0.8759,0.90539,0.8908,0.93608,0.94472,0.58968,1.35511,0.98952,0.89916,0.000508226,0.000508226,0.000508226
16,41.2809,1.29028,0.79516,0.91173,0.9151,0.89073,0.9282,0.5864,1.35366,0.8697,0.90247,0.000536445,0.000536445,0.000536445
17,43.7876,1.33134,0.79534,0.92284,0.92639,0.89255,0.93347,0.59919,1.32769,0.83596,0.9005,0.000563872,0.000563872,0.000563872
18,46.3722,1.24465,0.76365,0.89213,0.88288,0.90522,0.89533,0.55708,1.37704,0.78597,0.91525,0.000590507,0.000590507,0.000590507
19,48.6028,1.24017,0.75628,0.89977,0.89317,0.8961,0.8899,0.56054,1.34419,0.84856,0.90698,0.00061635,0.00061635,0.00061635
20,51.1177,1.25735,0.74219,0.91062,0.92288,0.90802,0.92735,0.58013,1.33488,0.78445,0.90768,0.000641401,0.000641401,0.000641401
21,53.5713,1.28608,0.73852,0.90387,0.91592,0.90212,0.93924,0.57436,1.39102,0.76075,0.91354,0.00066566,0.00066566,0.00066566
22,55.846,1.29168,0.72773,0.90803,0.95016,0.86367,0.93942,0.59273,1.26974,0.73091,0.88497,0.000689127,0.000689127,0.000689127
23,57.8831,1.31798,0.79865,0.93872,0.92498,0.92094,0.94635,0.57306,1.28514,0.71073,0.88159,0.000711802,0.000711802,0.000711802
24,60.1343,1.26677,0.71706,0.92081,0.9014,0.91916,0.94533,0.56808,1.37301,0.75114,0.89526,0.000733685,0.000733685,0.000733685
25,62.2998,1.26971,0.74893,0.91848,0.88623,0.90951,0.94012,0.59174,1.33828,0.75303,0.89172,0.000754776,0.000754776,0.000754776
26,64.4762,1.28918,0.72727,0.90968,0.93942,0.90607,0.94044,0.58961,1.34075,0.73358,0.90202,0.0007525,0.0007525,0.0007525
27,66.5081,1.28549,0.7001,0.91282,0.95348,0.88802,0.94082,0.6106,1.29405,0.71035,0.89073,0.0007426,0.0007426,0.0007426
28,68.8225,1.25024,0.68606,0.91401,0.922,0.88584,0.93346,0.57302,1.29254,0.72738,0.88215,0.0007327,0.0007327,0.0007327
29,72.2878,1.26282,0.69242,0.91044,0.93509,0.91699,0.95441,0.5836,1.26246,0.7066,0.88248,0.0007228,0.0007228,0.0007228
30,76.861,1.22477,0.66904,0.92237,0.93434,0.92741,0.95517,0.61123,1.21297,0.6491,0.87539,0.0007129,0.0007129,0.0007129
31,82.0962,1.17878,0.65474,0.89799,0.94244,0.9234,0.95234,0.62892,1.25326,0.66491,0.88315,0.000703,0.000703,0.000703
32,86.3261,1.15648,0.62835,0.89769,0.94812,0.9234,0.94641,0.6333,1.24661,0.66101,0.8781,0.0006931,0.0006931,0.0006931
33,91.1269,1.1938,0.61869,0.9005,0.96238,0.9234,0.95061,0.65382,1.20502,0.65854,0.86639,0.0006832,0.0006832,0.0006832
34,95.3979,1.15237,0.61971,0.90475,0.96153,0.94135,0.96333,0.6561,1.18075,0.662,0.86178,0.0006733,0.0006733,0.0006733
35,99.6324,1.21876,0.62209,0.89279,0.96268,0.92956,0.96345,0.64858,1.18732,0.64918,0.86752,0.0006634,0.0006634,0.0006634
36,103.858,1.1668,0.6264,0.89152,0.92874,0.9268,0.96024,0.64866,1.28389,0.64265,0.88914,0.0006535,0.0006535,0.0006535
37,108.124,1.13591,0.60561,0.87472,0.92693,0.9234,0.95821,0.62652,1.34167,0.63336,0.90608,0.0006436,0.0006436,0.0006436
38,112.898,1.15021,0.59906,0.87636,0.95422,0.9234,0.95323,0.62235,1.29234,0.5993,0.89649,0.0006337,0.0006337,0.0006337
39,117.262,1.10653,0.57689,0.88549,0.97618,0.9202,0.96963,0.63633,1.22564,0.57535,0.88807,0.0006238,0.0006238,0.0006238
40,121.45,1.12363,0.58059,0.88822,0.97646,0.9234,0.9682,0.61475,1.21122,0.59043,0.88654,0.0006139,0.0006139,0.0006139
41,127.085,1.12077,0.58476,0.87476,0.96794,0.91833,0.96864,0.61786,1.28943,0.61021,0.90059,0.000604,0.000604,0.000604
42,131.098,1.14594,0.60266,0.88747,0.94933,0.92905,0.97829,0.62206,1.26,0.60356,0.89626,0.0005941,0.0005941,0.0005941
43,134.804,1.07888,0.57635,0.8833,0.94608,0.91768,0.96073,0.63852,1.21282,0.58868,0.88145,0.0005842,0.0005842,0.0005842
44,138.479,1.10545,0.5774,0.89675,0.92599,0.9234,0.96371,0.65634,1.23152,0.58005,0.88278,0.0005743,0.0005743,0.0005743
45,143.225,1.09385,0.57718,0.88269,0.92686,0.92444,0.95919,0.65932,1.20367,0.59677,0.87173,0.0005644,0.0005644,0.0005644
46,148.889,1.05375,0.57441,0.8631,0.92648,0.92594,0.95435,0.65769,1.19648,0.61674,0.87179,0.0005545,0.0005545,0.0005545
47,154.044,1.10251,0.56937,0.88753,0.93419,0.9234,0.95739,0.65324,1.20348,0.61714,0.87208,0.0005446,0.0005446,0.0005446
48,158.719,1.0607,0.55098,0.87225,0.95848,0.92277,0.96314,0.63575,1.19982,0.60339,0.86701,0.0005347,0.0005347,0.0005347
49,164.124,1.05033,0.58081,0.87795,0.95287,0.94159,0.98078,0.65676,1.20538,0.60101,0.86748,0.0005248,0.0005248,0.0005248
50,168.996,1.04297,0.56102,0.87611,0.95692,0.94159,0.9802,0.65285,1.18759,0.60445,0.86254,0.0005149,0.0005149,0.0005149
51,174.186,1.04864,0.55299,0.85227,0.96757,0.94115,0.9782,0.65807,1.21627,0.59113,0.86652,0.000505,0.000505,0.000505
52,180.076,1.05025,0.53479,0.86536,0.95997,0.92099,0.97632,0.65523,1.22732,0.6265,0.86804,0.0004951,0.0004951,0.0004951
53,185.662,1.05724,0.5625,0.86252,0.96382,0.91574,0.97675,0.65903,1.23666,0.65566,0.87315,0.0004852,0.0004852,0.0004852
54,190.739,1.03619,0.55162,0.87094,0.97105,0.91523,0.97698,0.64909,1.25037,0.63621,0.87528,0.0004753,0.0004753,0.0004753
55,195.996,1.07183,0.55581,0.87293,0.94519,0.89263,0.94654,0.65391,1.22437,0.62638,0.86902,0.0004654,0.0004654,0.0004654
56,201.299,1.02907,0.54896,0.8518,0.96285,0.91246,0.97459,0.64057,1.25297,0.63175,0.87005,0.0004555,0.0004555,0.0004555
57,206.19,1.05198,0.54274,0.87593,0.95833,0.91264,0.96712,0.64402,1.2465,0.66794,0.86801,0.0004456,0.0004456,0.0004456
58,210.689,1.05148,0.55169,0.86507,0.96372,0.91269,0.96898,0.63526,1.21752,0.64952,0.86789,0.0004357,0.0004357,0.0004357
59,216.54,0.97142,0.52232,0.85704,0.9665,0.91082,0.96254,0.65154,1.25678,0.61525,0.88212,0.0004258,0.0004258,0.0004258
60,222.004,1.05673,0.51956,0.86455,0.9712,0.91257,0.97971,0.66221,1.26037,0.60536,0.88623,0.0004159,0.0004159,0.0004159
61,227.989,1.06923,0.52584,0.87923,0.96744,0.9128,0.97992,0.66524,1.22008,0.61843,0.87422,0.000406,0.000406,0.000406
62,234.66,0.98771,0.51527,0.85639,0.91246,0.95578,0.97728,0.65927,1.22348,0.61432,0.87231,0.0003961,0.0003961,0.0003961
63,239.136,0.98561,0.50851,0.83952,0.9278,0.94775,0.97807,0.65801,1.20473,0.61114,0.87064,0.0003862,0.0003862,0.0003862
64,244.079,1.02696,0.53474,0.86114,0.94088,0.9426,0.98004,0.67962,1.17506,0.61451,0.8659,0.0003763,0.0003763,0.0003763
65,249.257,1.00059,0.517,0.86371,0.96708,0.93093,0.97589,0.6645,1.1921,0.59939,0.86606,0.0003664,0.0003664,0.0003664
66,254.884,0.97812,0.50319,0.85271,0.94461,0.91627,0.95434,0.63793,1.23264,0.60148,0.87278,0.0003565,0.0003565,0.0003565
67,259.403,0.99831,0.52046,0.85154,0.96463,0.93114,0.97463,0.64505,1.22694,0.60266,0.86975,0.0003466,0.0003466,0.0003466
68,264.147,0.94166,0.50619,0.86856,0.96631,0.9223,0.97296,0.66433,1.20418,0.60846,0.86635,0.0003367,0.0003367,0.0003367
69,268.663,0.96087,0.50628,0.86661,0.96405,0.9232,0.97394,0.65486,1.20353,0.6054,0.86702,0.0003268,0.0003268,0.0003268
70,273.34,0.91929,0.47747,0.85196,0.96653,0.91907,0.97425,0.6674,1.21505,0.60087,0.86997,0.0003169,0.0003169,0.0003169
71,276.989,0.94494,0.4919,0.84241,0.96403,0.93354,0.97935,0.65872,1.2662,0.57321,0.87993,0.000307,0.000307,0.000307
72,281.529,0.93136,0.48236,0.87032,0.95448,0.94865,0.97917,0.6448,1.30208,0.56331,0.88952,0.0002971,0.0002971,0.0002971
73,286.358,0.93391,0.48239,0.83001,0.96168,0.94198,0.97854,0.65671,1.29697,0.56068,0.88745,0.0002872,0.0002872,0.0002872
74,291.833,0.93031,0.48419,0.85109,0.96518,0.94143,0.98411,0.65727,1.28492,0.57412,0.88359,0.0002773,0.0002773,0.0002773
75,297.582,0.96995,0.48897,0.85551,0.97415,0.91494,0.96137,0.64508,1.28707,0.57687,0.88373,0.0002674,0.0002674,0.0002674
76,303.598,0.91174,0.47783,0.82851,0.95465,0.94159,0.9811,0.64576,1.30301,0.58223,0.88516,0.0002575,0.0002575,0.0002575
77,307.59,0.95524,0.48593,0.85623,0.95273,0.94059,0.98264,0.62017,1.29714,0.59356,0.88505,0.0002476,0.0002476,0.0002476
78,312.135,0.91179,0.48548,0.84018,0.95176,0.94091,0.98374,0.64882,1.26981,0.59137,0.88176,0.0002377,0.0002377,0.0002377
79,317.979,0.87815,0.4716,0.84404,0.94741,0.94517,0.98442,0.65693,1.25299,0.58832,0.88107,0.0002278,0.0002278,0.0002278
80,323.107,0.8831,0.4673,0.84912,0.94729,0.94787,0.98026,0.66735,1.25157,0.59867,0.88304,0.0002179,0.0002179,0.0002179
81,328.042,0.92692,0.47311,0.85198,0.94588,0.94884,0.98147,0.66455,1.25195,0.59703,0.88353,0.000208,0.000208,0.000208
82,333.467,0.89108,0.46311,0.84951,0.94382,0.95039,0.98159,0.66035,1.2439,0.59065,0.88295,0.0001981,0.0001981,0.0001981
